Shannon	Simpson	Richness	Chao1	Ace	pielou	Goods_coverage	Region	Site	Season	Site2	Month	Category
4.33851393174588	0.97231367509207	230	231.8	232.992928888088	0.552994638139098	0.999904662436724	HK	Bea1	Aug	Bea	8	01prok_corrected
3.57474233358885	0.928988814948993	229	239.714285714286	241.669727446267	0.456008343477018	0.999726068718179	HK	Bea1	Feb	Bea	2	01prok_corrected
2.56517217712656	0.687832516849241	190	193.9	194.920177724891	0.338866724789767	1	HK	Bea1	May	Bea	5	01prok_corrected
2.57140913837214	0.684140104392035	185	220.0625	210.042506523372	0.341425959082394	0.999462858948563	HK	Bea1	Nov	Bea	11	01prok_corrected
4.49245887033549	0.978082850784093	282	290.724137931034	292.06389306808	0.551929544496519	0.999806952112128	HK	Bea2	Aug	Bea	8	01prok_corrected
3.29214523972096	0.865822328997381	218	234.916666666667	234.661467732539	0.423798548294038	0.999509563195834	HK	Bea2	Feb	Bea	2	01prok_corrected
2.56382297408931	0.68989276386594	195	204	201.88079454743	0.337020067270566	0.999790307303085	HK	Bea2	May	Bea	5	01prok_corrected
3.54350752842228	0.897271196037594	206	211.217391304348	213.246237347216	0.4610040051244	0.999700272030585	HK	Bea2	Nov	Bea	11	01prok_corrected
4.24290241894928	0.966200476488074	265	275	274.355405635871	0.527078539786798	0.999808854416353	HK	Bea3	Aug	Bea	8	01prok_corrected
3.45799974786037	0.908753130425329	217	224.555555555556	223.98524632363	0.445529462384452	0.999816325963847	HK	Bea3	Feb	Bea	2	01prok_corrected
3.29406457173901	0.861615166380676	201	205.588235294118	205.919392554015	0.430537487485128	0.999898517747093	HK	Bea3	May	Bea	5	01prok_corrected
3.74625054210582	0.903897744632035	252	281	266.382335139092	0.469615028936105	0.999812988235213	HK	Bea3	Nov	Bea	11	01prok_corrected
3.75988182167074	0.941042348796426	198	204.176470588235	204.543161619486	0.492817678986869	0.999568876622229	HK	Sta1	Feb	Sta	2	01prok_corrected
3.2869541837516	0.858441866232183	186	188.8125	189.935765033105	0.43598420806691	1	HK	Sta1	May	Sta	5	01prok_corrected
3.57721260750504	0.914599547001894	165	188.076923076923	185.333491332611	0.485617178215071	0.999764182156862	HK	Sta1	Nov	Sta	11	01prok_corrected
3.54871062082689	0.939020765437885	212	222.483870967742	225.716953503414	0.459206411568515	0.999714739003059	HK	Sta2	Feb	Sta	2	01prok_corrected
