phylum	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKSha1Feb	SKSha2Feb	SKSha3Feb	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3May	SKSha3Nov	HKSta1Aug	HKSta2Aug
Acidobacteriota	0	0.769230769	1.538461538	0	5.384615385	56.15384616	0	0	2.307692308	4.615384615	0	6.923076923	0	0	0	0	0	3.076923077	0	10.76923077	6.153846154	6.153846154	0	3.076923077	0	25.38461539	4.615384615	0	0	0	0	0	0	0	3.076923077	4.615384615	11.53846154	0	14.61538462	6.153846154	0	12.30769231	6.153846154	3.846153846	0	13.07692308	16.92307692	28.46153846	4.615384616	8.461538462	19.23076923	20	0	0	0	18.46153846	0	0	14.61538462	4.615384615	0	4.615384615	101.5384615	0	0	0	0	0	0	6.153846154	0	0	0.769230769	0	0	43.07692308	0	13.84615385	0	0	0	0	0	10.76923077	0	0	0	14.61538462	0	0	0	4.615384615	0	33.07692308	0	16.92307693	0	0	19.23076923	0	0	24.61538462	1.538461538	1.538461538	27.69230769	0	0
Actinobacteriota	118.2307692	139.6923077	536.3288808	197.7837402	94.87333027	177.8673422	662.7406724	549.6531552	132.3899125	161.4555504	95.13588208	1234.789728	114.0384615	1130.773837	462.6457853	97.95025334	1111.801013	504.6577614	115.3673422	64.73606633	834.8779363	448.1199908	142.4276831	64.07692308	77.09811147	791.6140027	109.4933211	76.58222017	275.1312759	0	200.279134	76.24136343	58.12528788	94.27176417	114.6418701	1.538461538	64.19161677	190.8486872	237.4276831	12.5	44.61538462	209.4707508	270.2187932	14.27452787	31.53846154	191.5978812	96.17365269	24.61538462	52.30769231	272.3526025	286.5875173	38.46153846	26.92307692	256.4249194	200.8070014	15.38461538	132.3076923	258.5237218	443.0204974	42.30769231	207.0105942	629.7844312	505.0808383	153.0769231	956.2134962	497.2618609	13.07692308	190.7692308	1599.50714	42.30769231	26.15384616	63.84615385	58.71418702	626.6697374	62.30769231	1371.00783	37.21418701	536.9276831	27.18102257	978.6331184	83.82957163	432.9111009	43.07692307	517.1556885	39.79111009	347.6923077	117.9502533	1030.229387	50.23076923	629.2307692	158.3786274	917.2068171	15.81298941	880.9442654	305.214187	1075.995163	40.04375863	11.36803316	84.34546293	51.68102256	25.38461539	272.5568862	87.09880241	20.5988024	174.0092123	34.54905574	41.35076002
Bacteroidota	4847.652496	5864.97811	1241.217676	510.8690944	4135.852141	7625.378823	1087.417864	1074.356779	4670.524165	5296.705431	1830.159429	1110.945276	5565.007566	2094.139994	1226.118069	6567.466117	1522.734225	1354.914763	4287.477778	8188.041626	1169.290613	1254.221018	3860.778929	5574.982863	2188.11163	1534.242966	3675.784609	6645.622285	3338.014215	127.4482544	2976.318918	5414.376859	993.8558335	1257.930222	5007.45907	5589.998858	3538.288285	1938.535197	2978.421565	5535.622926	2720.229817	1413.256198	3726.403572	8142.503288	3730.43794	2005.461596	3404.896837	5169.735262	3101.362407	2859.151271	3051.524778	5359.927221	5659.375056	2137.311914	3662.573028	5138.692282	5021.743413	2792.52369	3550.155735	4387.977725	3019.936178	1769.370185	158715.7692	5636.591479	1631.370431	2971.918073	5053.587439	2854.582149	2783.53485	3400.383526	2608.863836	2347.203649	1041.438836	4627.475908	435.1538314	2947.801075	1585.455037	3943.942097	672.0677532	1604.749487	1668.970705	3590.364033	921.8719217	2345.624686	1308.422606	5596.430536	1365.904292	1877.689327	1227.368194	5604.416886	1935.771095	3106.741253	1958.04403	5763.78919	1614.612949	2508.253264	1082.664133	1056.195244	935.4496231	1219.970336	1288.855031	1418.748849	1026.850029	926.3049185	1175.141826	3934.01483	2996.930048
Bdellovibrionota	122.2857143	2	2	2.285714285	126.0952381	4.095238095	5.714285714	12.57142857	127.8095238	4.095238096	7.047619048	10.0952381	1.428571429	2	90.41916168	1.551183347	3.714285714	0.598802395	102.3809524	2.149985742	3.333333333	7.523809523	201.2380952	0.476190476	12.5178215	4.761904762	182.0952381	0.476190476	20.38095238	0	177.1428571	0	5.333333334	0.952380952	112.7619048	0.476190476	6.095238096	17.52380952	75.52380952	0.476190476	3.333333333	14.76190476	77.71428571	2.857142857	4.952380952	28.28571428	110.4761905	5.619047619	0	17.33333333	83.04761905	7.171371543	1.333333333	6.19047619	90.47619048	11.10350727	0	8.571428572	32.47619048	2.857142857	2	24.38095238	54.38095238	3.932135728	8.19047619	19.04761905	0	6.476190476	4.571428571	1.428571429	4.761904763	0	22.38095238	0	3.592814371	13.52380953	18.85714286	3.333333334	3.714285714	7.142857144	16.38095238	5.238095238	3.047619048	16.28571428	14.28571429	0	3.809523809	11.04761905	12.62617622	0	4	24.57142857	20.66666667	0	6.857142857	14.19047619	28.47619047	0	9.999999999	29.9047619	1.904761905	18.38095238	39.33333333	0.952380952	18.19047619	82.19047619	95.61904762
Crenarchaeota	137	50	7	61	184	27	5	231	90	49	30	267	23	4	86	7	7	63	117	7	5	52	386	19	11	52	311	14	16	8	1030	5	5	110	77	5	6	367	86	2	4	276	24	0	3	297	0	6	0	152	50	7	2	121	43	8	13	106	136	5	5	94	159	8	111	144	13	0	130	4	0	0	0	20	0	188	0	87	1	170	0	81	1	170	5	37	4	108	8	41	0	108	0	51	0	95	0	0	15	0	0	23	1	0	10	27	2
Cyanobacteria	73.81682686	145.7859532	5337.074834	5555.254452	206.6082136	56.10925307	5346.643165	4058.579248	57.36709954	47.82608696	3478.442858	3424.022216	207.7108881	3691.227113	2979.096086	20.18208845	4695.165566	5614.79426	70.93474746	24.15458937	5775.370855	5930.919883	23.83570862	5.797101449	4197.063083	5545.159139	72.7435797	8.695652174	3807.812227	244.4444444	95.1068125	27.0531401	6450.052226	5704.805006	394.7408277	0	1812.784758	3495.904266	652.1976157	19.3236715	3486.864724	4334.570993	827.5233763	54.10628019	1723.236113	2923.710165	359.7493146	13.52657005	2055.705003	2549.700905	479.8616007	31.40096618	133.4821778	3965.238382	161.4858337	25.12077295	264.1923529	2920.170538	323.4779595	23.16982535	4082.285597	4543.178061	396.1591692	841.874818	4662.479034	445.3845149	0	4307.640483	1630.325409	0	0	0	5440.968594	414.9758454	8025.947854	2099.398596	4419.966856	91.46413972	7548.650456	3979.101308	4078.618217	115.4589372	7116.42733	3035.120372	4923.268855	236.7149758	6622.742375	4129.85688	4963.145621	300.4830918	5448.399972	2515.230146	4362.776924	39.77331847	5640.49645	3172.047566	6155.959203	7746.48046	6383.612341	5830.537226	6608.869906	4488.7067	5760.083864	7291.05788	5563.643276	15.11434512	18.83575884
Dadabacteria	0	5	24	0	0	4	14	0	3	3	8	16	0	23	0	0	21	10	3	0	4	16	5	5	2	11	3	0	11	0	0	0	3	3	1	0	0	4	0	0	0	8	0	0	0	12	0	0	2	1	0	0	0	4	0	0	0	0	2	0	1	3	7	7	12	0	0	0	3	0	0	0	0	8	6	18	0	15	3	23	0	24	11	17	0	26	2	12	0	36	9	15	0	102	8	10	0	0	2	0	0	2	0	0	0	3	0
Desulfobacterota	30.95238095	0.476190476	0	0	57.14285715	0	0	3.809523809	26.19047619	0	4.761904762	3.809523809	0	2.857142857	0	0	0	2.380952381	13.33333333	0	0	0.476190476	28.0952381	0	1.904761905	3.80952381	31.9047619	0	3.333333333	10.47619048	19.52380953	0	0.952380952	0.952380952	10.47619048	0	1.428571429	3.80952381	3.333333333	0	0	3.333333333	6.19047619	0	0	5.238095238	9.047619047	0	0	0.952380952	9.047619047	0	0	0	6.666666667	0	0	0	4.285714286	0	0.952380952	2.380952381	0.476190476	0	0	0	0	0	0	0.952380952	0	0	0.476190476	0.952380952	0	0	1.904761905	1.428571429	0	0	1.904761904	0	2.380952381	0.476190476	2.380952381	0	0	3.333333334	2.857142857	0	0	2.380952381	5.238095239	0	2.380952381	1.904761905	2.857142857	0	1.428571428	2.857142858	0	0.476190476	0	0	0.476190476	14.76190476	21.9047619
Firmicutes	266.255144	1.234567901	0	6.172839506	339.9176954	1.234567901	0	5.349794239	203.7037037	0	0	29.62962963	0.823045267	0.411522634	0	0.823045267	0	20.57613169	214.4032922	0.411522634	0	27.98353909	0	1.646090535	0	4.526748971	231.6872428	2.469135802	1.646090535	0	151.8518519	2.469135802	0	2.880658436	100.4115226	0	2.057613169	1.646090535	56.79012345	0.823045267	3.703703703	2.880658436	25.92592592	0.823045267	6.172839506	2.469135802	46.91358024	0	3.703703704	4.526748971	83.95061728	0	39.91769547	0	0	0	47.73662551	2.880658436	0	0.823045267	36.21399176	11.93415638	0	39.91769547	7.818930041	0	0	0	2.057613168	3.29218107	0	10.28806584	68.72427984	11.93415638	0	2.469135802	57.20164608	6.172839506	0.411522634	0	0	0	0	3.29218107	16.87242798	27.16049383	0	9.465020576	9.465020576	30.4526749	0	0	9.465020576	0	0	0	0	0	8.641975309	0	0	5.761316872	171.6049383	0	11.52263375	104.526749	67.48971194
Fusobacteriota	0.762388818	13.72299873	8.16635715	11.14040661	6.86492034	3.049555273	2.105121689	0	3.949271821	2.033036849	1.905972046	1.531619587	2.92249047	4.907389307	6.016518424	3.430749683	0.127064803	1.981477861	2.414231258	2.160101652	1.651842439	2.359251295	1.462955722	2.287166455	0	2.548138012	1.778907242	0.889453621	0.254129606	0	1.143583227	0.889453621	0.127064803	1.335890919	1.016518424	0.381194409	0.635324015	0	0	0.381194409	0.127064803	0.889453621	0	0	0.127064803	0.254129606	0	0.127064803	0.381194409	0	0.961538462	0	0.381194409	0.254129606	0.635324015	0.254129606	1.401133809	0	0	0.381194409	5.295425667	3.063239175	0.576923077	0.827631707	1.016518424	0	0	2.300850356	2.668360864	0.254129606	0	0	1.971214934	12.02986023	0.254129606	5.037875085	2.541296061	3.945850845	0.254129606	5.494575311	0	7.829879777	0.765809794	6.950689083	0.762388818	4.40255107	0.95469651	1.720506304	1.208826116	2.35583032	1.212247092	3.952692795	0	2.67178184	1.016518424	2.427915159	1.016518424	0	2.352409344	0.384615385	0	2.932753397	1.397712834	0.254129606	2.352409344	5.219919851	2.668360864
Gemmatimonadota	2.777777778	1.666666667	4.444444445	61.11111111	6.111111111	5	7.777777778	25.55555555	3.888888889	1.666666667	12.22222222	141.1111111	5	25	45	3.888888889	6.111111111	48.33333334	3.888888889	0	11.11111111	47.22222223	10	0	1.111111111	77.22222222	6.666666667	3.333333333	15	0	27.77777778	1.666666667	3.333333333	26.66666667	13.33333333	0	8.888888889	57.77777778	11.66666667	0	4.444444444	35.55555556	14.44444444	0	0.555555556	100	10	0	0	18.88888889	10.55555556	0	0	16.66666666	12.77777778	0	5	40.55555555	16.66666667	0	4.444444444	23.88888888	18.88888889	3.888888889	31.66666667	53.33333334	0	1.666666667	5.555555556	1.111111111	0	0	3.333333334	21.11111111	0	136.6666667	2.222222222	11.11111111	0	114.4444444	0	14.44444444	2.777777778	138.3333333	1.666666667	27.77777778	2.222222222	67.22222222	2.222222222	40	1.111111111	96.66666666	0	50	3.333333333	71.11111111	0	0	20	3.888888889	0	34.44444444	0	1.111111111	28.33333333	0	0
Marinimicrobia_(SAR406_clade)	8	38	34	85	7	21	52	193	3	66	44	142	17	68	3	20	79	22	12	7	46	15	21	8	7	18	37	8	57	29	51	21	21	9	9	0	12	42	11	0	0	49	2	0	5	48	0	0	6	79	5	0	0	69	3	0	1	65	37	1	23	44	24	25	55	68	0	9	64	2	3	7	3	77	11	142	8	103	15	145	1	95	11	177	5	79	16	115	5	132	20	113	7	159	52	131	1	3	38	4	0	107	0	1	67	11	5
