#OTU ID	LTCC1May	LTCC2May	LTCC3May	LTCMW1May	LTCMW2May	LTCMW3May	LTPC1May	LTPC2May	LTPC3May
id227	12	0	5	6	0	1	23	25	9
id228	1.851851852	0.925925926	0	0	0	0	3.240740741	0	0.462962963
id229	1.388888889	0.925925926	3.240740741	0	0	2.314814815	0.925925926	0.462962963	1.851851852
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	2.447552448	0	0	0
id231	0	0	0	0	0	0	0	0	0
id232	0	0	0	0	0	0	0	0	0
id233	2.966101695	0.847457627	0.423728814	0.423728814	0.423728814	1.271186441	2.118644068	0.847457627	0.89991929
id234	0	0	0	0	0	0	0	0	0
id235	0	0	0	0	0	0	0	0	0
id236	0	0	0	0	0	0	0	0	0
id237	9	5	3	4	4	0	11	4	0
id238	0	0	0	0	0	0	0	0	0
id239	9.009009009	2.702702703	5.405405405	0	0	7.207207207	17.11711712	7.207207207	7.207207207
id24	350	286	16	271	0	0	1	1	2
id240	3.5	0.5	0.5	2.5	5	0	2.5	9.5	2.5
id241	1.801801802	2.702702703	0	0	2.702702703	0	1.801801802	0	1.801801802
id242	0	0	0	0	0	0	0	0	0
id243	0	0	1	0	2.5	0	0	0	2
id244	0	0	0	0	0	0	0	0	0
id245	0	0	0	0	0	0	0	0	0
id246	1.904761905	1.904761905	0	1.904761905	0.952380952	1.62601626	2.380952381	1.904761905	0
id247	6.8	5.2	9.2	16.4	17.6	20.4	6.8	8.4	6.4
id248	26.96629214	29.21348314	61.79775281	59.55056179	23.59550562	79.21348314	71.91011236	113.4831461	47.19101124
id249	75.86307831	66.46805576	98.05180581	89.4135576	35.6499694	139.7722261	99.30736659	134.674448	64.51873199
id25	218	4	41	5	1	4	39	176	292
id250	2.150537634	2.867383513	6.810035842	4.301075269	2.508960573	16.84587814	10.39426523	21.14695341	8.602150538
id251	18.69918699	5.691056911	21.95121951	9.756097561	4.06504065	2.43902439	7.317073171	3.25203252	3.25203252
id252	13.49206349	15.07936508	16.66666667	12.3015873	0	1.984126984	3.968253968	6.746031746	10.31746032
id253	20	15	30	44	0	0	21	14	6
id254	15.87301587	9.126984127	9.523809524	9.523809524	9.126984127	9.126984127	8.73015873	8.333333333	6.349206349
id255	3048.371291	2441.05245	3043.588682	2933.291926	3507.867495	3028.036577	1309.309869	2228.454106	1855.427881
id256	0	0	0	0	0	0	0	0	0
id257	3.25203252	0	0	1.62601626	0	1.62601626	0	4.87804878	0
id258	3.942652329	2.867383512	4.659498208	6.451612903	3.225806452	9.677419354	5.376344086	5.376344086	1.792114695
id259	77.2	53.6	58.8	80.4	17.2	18.8	89.2	78.4	52.8
id26	0	0	0	0	0	1	0	0	0
id260	6	3.6	7.2	10.8	12.4	6.8	14.4	9.2	4.8
id261	0	0	0	0	12	7.333333333	0	0	0
id262	4.494382023	1.123595506	4.494382022	2.808988764	2.247191011	2.247191011	3.932584269	1.685393258	1.123595506
id263	0	1.433691756	0	0.716845878	0	0.358422939	0	0	0
id264	0	0.25	0	0.75	31.5	9	0	7	1.25
id265	0	0	0	0	1.818181818	0.13986014	0	0	0
id266	7.348242812	4.792332268	7.348242811	5.431309904	4.792332268	9.584664537	19.48881789	39.2971246	16.93290735
id267	1.277955272	0	0	1.916932907	2.236421725	1.277955272	1.277955272	4.47284345	0.638977636
id268	2.236421725	0	1.597444089	0	0	2.555910543	6.07028754	14.37699681	6.709265176
id269	1.916932907	2.236421725	1.277955272	1.597444089	4.153354633	3.833865815	1.597444089	1.277955272	0.638977636
id27	6	1	0	2	0	0	5	0	7
id270	0	0	0	0	6	5.5	0	0.5	0
id271	11.40939597	3.355704698	6.263982103	10.29082774	10.73825503	3.355704698	0	1.565995526	0
id272	52	60.5	131	46	25	21.75	41.25	128.25	49.75
id273	0	0.571428571	0	0	9.333333333	11.80952381	0	0.380952381	0
id274	0	0	0	0	0	0.384615385	0	0	0
id275	7.902735562	1.975683891	3.647416413	2.583586626	3.343465046	0.455927052	0	0	1.063829787
id276	5.799812909	2.151543499	3.83536015	4.677268475	1.777362021	1.216089804	2.899906455	0.935453696	1.403180543
id277	0	0	0	0	0	1.509433962	0.377358491	1.886792453	1.132075472
id278	4.92965427	0.377358491	0	0	0	4.905660377	2.312138728	0	1.132075472
id279	21.50943396	13.20754717	27.9245283	16.22641509	12.0754717	16.60377358	12.83018868	32.0754717	15.47169811
id28	1	4	0	0	0	4	0	6	2
id280	0	0	0	0	0	0.625	0.9375	0	0
id281	0.5	4.5	1	9	0	6.5	3	4	2.5
id282	19.5	12.5	7	17	24.5	11.5	4	9.5	0
id283	233.5	193.5	221	240	200.5	183	134.5	275.5	33.5
id284	1.509433962	1.509433962	0	0.754716981	4.150943396	1.132075472	1.886792453	3.018867925	1.886792453
id285	7.924528302	7.16981132	6.037735849	11.32075472	1.132075472	3.396226415	10.56603774	12.45283019	7.547169811
id286	0	0	0	0.651465798	12.54071661	3.42019544	0	0.977198698	0
id287	14.49250535	9.308779443	19.33062098	7.339186296	2.569593148	2.141327623	15.04796574	23.05781585	7.038115632
id288	10.71428571	10.89285714	22.14285714	22.5	7.321428571	26.25	3.571428571	3.75	1.964285714
id289	5.660377358	4.528301887	4.905660377	3.773584906	0	1.509433962	2.264150943	1.886792453	0.754716981
id29	177	9	58	57	0	1	11	1	2
id290	27.54716981	20.37735849	38.11320755	29.05660378	16.60377358	11.32075472	23.01886792	24.90566038	13.20754717
id291	15	17.5	30	16.5	6.5	10.5	20	44	10
id292	0	0	0	0	0.823045267	0	0	0	0
id293	54.71698113	33.96226415	50.56603773	44.1509434	14.33962264	24.52830189	79.62264152	94.33962264	64.1509434
id294	6.037735849	5.283018868	6.79245283	4.528301887	7.169811321	15.8490566	21.13207547	16.22641509	8.301886792
id295	1	1	1	0	6.936416185	0.578034682	13	17	3
id296	1.509433962	0.377358491	0	0.377358491	0	0.377358491	0	0.377358491	1.132075472
id297	0.754716981	0	1.509433962	0	1.509433962	0	0	0	0
id298	18	11	14	16	5	21.47619048	17	24	14
id299	879.4722222	714.1944445	1001.833333	1179.138889	209.1666667	1656.083333	347.75	449.1388889	227.3055556
id3	155	0	0	1	1	1	0	0	1
id30	46	15	83	6	2	16	701	131	95
id300	0	0	0	0	0	2	0	0	0
id301	0	0	0	0	0	0	0	0	0
id302	1	0.833333333	1.5	1.5	1.333333333	0	3.333333333	5	1.666666667
id303	4.166666667	0	0.833333333	0	0	3.333333333	0	0	3.333333333
id304	0	0	0	0	0	0	0	0	0
id305	0	0	0	0	0	0	0	0	0
id306	8.8	0	0	8	0	0.8	11.2	4.8	3.2
id307	5.925925926	1.481481481	2.592592593	2.962962963	0.740740741	2.222222222	4.444444444	2.592592593	1.851851852
id308	6.666666667	2.5	2.5	0	0	0	0	1.666666667	0.833333333
id309	0	1.724137931	1.034482759	4.137931035	1.034482759	1.034482759	2.758620689	0.344827586	0.689655172
id31	151	6	164	96	6	42	130	48	79
id310	0	0	0	0	0	0	0	0	0
id311	0	0	0	0	0	0	0	0	0
id312	0	0	0	0	18.33333333	0	1.666666667	0	1.666666667
id313	0	1.666666667	10	10	0	0	3.333333333	0	1.666666667
id314	0	0	3.333333333	0	0	1.666666667	0	0	1.666666667
id315	1.666666667	0	0	0	0	0	0	0	0
id316	0	0	0	0	0	0	0	0	0
id317	1.666666667	0	0	0	0	0	0	0	0
id318	1.666666667	3.333333333	0	3.333333333	3.333333333	8.333333333	5	0	3.333333333
id319	12.85714286	37.14285714	50	20	32.85714286	50	118.5714286	215.7142857	118.5714286
id32	50	28	125	26	0	473	85	4	10
id320	781.4285714	2288.571429	4878.571429	5210	2551.428571	1437.142858	4274.285714	13298.57143	15527.14286
id321	395.7142857	378.5714286	647.1428571	331.4285714	532.8571429	877.1428571	747.1428571	1634.285714	702.8571429
id322	0	0	2.857142857	0	0	0	0	2.857142857	0
id323	0	4.285714286	12.85714286	2.857142857	0	2.857142857	5.714285715	0	5.714285715
id324	1.176470588	0	1.470588235	0	1.470588235	0	0	0	0
id325	0.294117647	0.588235294	1.470588235	0.588235294	0	0.588235294	0	0	0
id326	0	0	0	2.058823529	0.294117647	0	0.294117647	0	0
id327	0	0.294117647	0	0	0	0	0.294117647	0	0
id328	0.882352941	2.647058824	3.823529412	4.411764706	9.705882353	1.764705882	5.294117647	0	5.588235294
id329	0	1.176470588	0	0	0.294117647	0.294117647	0.588235294	0.294117647	0.588235294
id33	115	151	77	153	27	333	152	417	291
id330	0	0	0	0	0	0	0	0.588235294	0
id331	0	0	1.470588235	2.647058824	0.294117647	0	0.294117647	12.94117647	0.294117647
id332	0.294117647	0	0.294117647	0	0	1.764705882	0.294117647	0	0
id333	96.66666667	117.7777778	244.4444444	95.55555556	157.7777778	177.7777778	206.6666667	290	306.6666667
id334	0	4.444444444	2.222222222	1.111111111	2.222222222	2.222222222	2.222222222	3.333333333	0
id335	333.3333333	228.8888889	770.0000001	371.1111112	320	401.1111112	258.8888889	714.4444445	977.7777778
id336	0	0	5.555555556	0	0	0	0	0	0
id337	4.444444444	14.44444444	45.55555556	5.555555556	3.333333333	2.222222222	7.777777778	7.777777778	15.55555556
id338	0	3.333333333	4.444444444	0	1.111111111	0	13.33333333	2.222222222	1.111111111
id339	2.880434783	7.608695652	0.869565217	0.652173913	3.858695652	3.532608696	4.891304348	1.25	1.739130435
id34	1	2	11	0	0	8	2	1	16
id340	0.054347826	0	0	0.054347826	0	0	0	0	0
id341	10	12.82608696	4.293478261	15.54347826	30.54347826	20.05434782	13.42391304	4.456521739	5.543478261
id342	35.97826087	35.76086957	43.75	57.98913043	49.51086956	46.84782609	32.93478261	36.79347826	70.43478261
id343	969.1847826	731.3586956	794.8369565	1017.663044	880.1086956	974.7826087	534.8913043	560.8695652	469.5108696
id344	0.706521739	0.489130435	0.326086957	0.163043478	0.815217391	0.326086957	0.27173913	0.163043478	0
id345	0.27173913	0.217391304	0	0	0.27173913	0.163043478	0.27173913	0	0.108695652
id346	0	0	0	0	0	0	0	0	0.054347826
id347	0.815217391	3.260869565	0.217391304	14.13043478	0.597826087	0.706521739	2.554347826	0.434782609	5.815217391
id348	2.336956522	1.25	0.380434782	1.141304348	1.25	2.173913044	1.195652173	0.489130435	2.445652174
id349	0.108695652	0.054347826	0	0	0	0.054347826	0	0	0
id35	0	2	10	0	1	2	7	386	0
id350	27.82608695	37.06521739	27.55434783	24.56521739	42.06521739	28.36956521	31.46739131	25.86956522	25.65217391
id351	0.27173913	0.326086957	0.326086957	0.108695652	0.217391304	0.108695652	0.27173913	0.108695652	0.163043478
id352	3.369565217	10.81521739	1.902173913	3.695652174	4.402173913	5.326086957	11.14130435	2.5	3.913043478
id353	0	0	0	0	0	0	0	0	0
id354	178.3695652	274.1847826	91.63043478	107.2282609	302.7173913	167.8804348	154.1847826	25.70652174	95.43478261
id355	5.108695653	11.30434783	12.11956522	8.315217392	5.97826087	4.673913044	6.630434782	18.09782609	5.760869564
id356	0	0	0	0	0	0	0	0	0
id357	3.478260869	10.10869565	6.304347823	4.347826086	8.749999998	5.978260869	10.2173913	17.2826087	6.413043477
id358	0	0	0.217391304	0	0.108695652	0.652173913	0	0.163043478	0.054347826
id359	1.467391303	2.934782609	2.989130434	3.532608695	2.173913043	0.978260869	1.793478261	1.739130434	0.923913044
id36	1499	14	72	109	4	7	17	12	290
id360	8.586956521	10.16304348	8.315217391	3.206521738	4.510869564	4.076086956	6.032608696	3.858695651	5.869565216
id361	0	0	0.108695652	0.163043478	0.108695652	0.108695652	0	0	0
id362	0.706521739	0.380434783	1.141304348	1.576086957	0.326086957	0.108695652	0.326086957	4.72826087	0.380434783
id363	0.597826087	0.923913044	0.760869565	0	0	0.434782609	0.108695652	0	0
id364	0.054347826	0.054347826	0.326086956	0.054347826	0.108695652	0.054347826	0	0.108695652	0
id365	5.815217391	12.55434783	3.47826087	2.228260869	3.804347826	3.967391304	3.804347825	1.739130435	3.967391305
id366	0	0	0.054347826	0	0	0	0	0	0
id367	0.923913044	2.22826087	0.652173913	0.108695652	0.326086956	0.326086956	0.597826087	0.380434783	0.217391304
id368	0	0.054347826	0	0	0.054347826	0.108695652	0	0	0.054347826
id369	0.97826087	0.869565217	0.652173913	0.108695652	0.163043478	0.163043478	0.217391304	0.054347826	0.217391304
id37	57	162	835	22	2	11	32	23	190
id370	1.576086955	3.369565217	2.228260869	0.706521739	1.576086957	4.673913042	0.81521739	0.706521739	1.249999999
id371	0.108695652	0	0.543478261	0	0	0.108695652	0.869565217	0.108695652	0
id372	0.326086956	0.760869565	0.163043478	0.760869565	0.108695652	0	0.217391304	0.108695652	0.27173913
id373	0.380434783	0.054347826	0.434782609	0	0.108695652	0.054347826	0.054347826	0	0.217391304
id374	0.054347826	0	0	0	0	0	0	0.054347826	0
id375	0.760869565	1.576086956	1.032608695	0.163043478	0.326086956	0.434782608	0.326086956	0.27173913	0.760869565
id376	0.054347826	0.380434783	0.108695652	0.108695652	0.217391304	0.326086957	0.163043478	0.27173913	0.27173913
id377	0.054347826	0.108695652	0	0.163043478	0.054347826	0.217391304	0.217391304	0	0.434782609
id378	5.489130434	6.141304348	7.336956521	13.91304348	22.39130435	18.69565218	13.04347826	14.07608696	23.64130434
id379	27.2	42.8	66.4	46	15.6	28.8	119.6	50	21.2
id38	6481	21885	9464	4743	3845	6043	19451	12100	14488
id380	1.6	2.4	0.8	2.4	1.2	0.8	0.8	0.4	0
id381	12.8	34	7.6	39.6	16.4	24	42.8	12	21.2
id382	8	14.8	7.2	7.2	20.8	7.6	10.8	5.2	16
id383	0	2	1.6	0	0.4	0.4	2	0.4	0
id384	630.4	508.8	1020.8	46	50.8	124.8	317.2	250.4	35.6
id385	2.8	0	7.6	0	0.8	0.8	2.8	5.2	0.4
id386	2	1.2	0.4	4.8	0	0.4	1.6	9.2	2.8
id387	0	0	0	1.6	0	0	0	0	1.2
id388	4.8	14.8	14.4	26.8	5.2	14	21.2	3.6	4
id389	1141.6	992.8	936	172	48.4	352.8	1126.8	467.2	143.2
id39	2	0	1	0	0	0	59	0	301
id390	8.8	18	12.4	8.4	18	6	29.6	3.6	9.6
id391	30.4	20.4	43.2	11.2	10.4	39.6	59.6	40.8	14.8
id392	198	209.2	229.6	127.6	71.6	124.8	517.6	304	154.4
id393	0	1.428571429	0	0	0	0	1.428571429	1.428571429	1.428571429
id394	30	35.71428572	100	8.571428572	50.00000001	160	47.14285714	20	17.14285714
id395	137.1428572	222.8571429	107.1428571	164.2857143	474.2857143	355.7142857	311.4285714	192.8571429	180
id396	1.428571429	0	0	0	4.285714286	1.428571429	1.428571429	1.428571429	4.285714286
id397	18.57142857	2.857142858	10	0	11.42857143	24.28571428	21.42857143	2.857142857	4.285714286
id398	2.857142857	2.857142857	2.857142858	22.85714286	11.42857143	2.857142857	4.285714286	2.857142858	2.857142857
id399	0	0	1.428571429	0	0	1.428571429	4.285714286	1.428571429	1.428571429
id4	0	0	0	0	0	1	0	0	0
id40	0	0	0	0	0	0	0	0	122
id400	0	0	1.428571429	0	2.857142857	0	0	0	0
id401	230	395	198.3333333	158.3333333	181.6666667	296.6666667	348.3333334	91.66666667	373.3333333
id402	17.79141104	4.049079755	3.435582822	0.552147239	0.245398773	2.085889571	4.846625767	5.398773006	0.736196319
id403	0	0	1.428571429	0	1.428571429	1.428571429	2.857142857	18.57142857	35.71428571
id404	0	2.857142857	1.428571429	24.28571429	4.285714286	7.142857143	1541.428571	388.5714286	151.4285714
id405	0	0	4.285714286	4.285714286	11.42857143	0	0	2.857142857	0
id406	0	4.285714286	2.857142857	2.857142857	4.285714286	4.285714286	247.1428571	22.85714286	0
id407	90	105.7142857	172.8571429	211.4285714	850	660	1942.857143	2387.142857	2548.571429
id41	0	0	0	0	0	0	0	0	0
id42	9	897	1	1138	225	50	27	2446	192
id43	0	0	4	0	0	0	0	0	0
id44	0	0	0	0	0	0	0	0	0
id45	0	0	0	0	0	0	0	0	0
id46	48	0	1130	0	90	0	16	156	1
id47	0	0	0	0	0	0	0	0	0
id48	4	0	0	0	0	0	0	0	1384
id49	0	0	0	0	0	0	0	0	0
id5	0	0	0	0	0	0	0	3	0
id50	101	96	2199	142	211	64	3569	2706	0
id51	97	40	176	89	32	13	0	0	217
id52	30	0	716	2	1	2	56	0	0
id53	0	56	0	3493	217	44	0	38	0
id54	9	0	0	0	0	0	0	0	5
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	0	0	0	0	0	0
id57	0	0	0	0	0	0	0	0	0
id58	0	0	0	0	2	0	0	76	0
id59	4	0	0	0	0	0	0	0	3
id6	599	2130	859	3789	32	296	110	78	12864
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	0	0	0	0	0	0	0	0	0
id63	0	0	0	0	0	0	0	0	0
id64	0	2	0	2	1	0	0	0	0
id65	22	0	4	3	2	1	0	149	11
id66	43	0	1170	0	0	0	90	0	0
id67	0	0	2	36	0	0	0	51	0
id68	0	0	0	0	0	0	0	0	3
id69	0	0	0	0	0	0	0	0	0
id7	0	1	0	6	0	1	0	0	34
id70	109	0	1085	0	1	0	36	66	256
id71	0	0	0	0	0	0	0	0	0
id72	22	0	0	13	6	2	1	69	1902
id73	158	177	11	5701	785	9479	2186	6	90
id74	0	0	0	0	0	0	0	0	0
id75	17823	5407	17659	5572	576	10155	9519	8464	6150
id76	4	0	0	0	0	0	1	0	4
id77	0	0	0	2	1	1	31	0	98
id78	0	4841	0	5362	18244	520	8	4062	243
id79	0	0	0	0	0	0	0	0	28
id8	4	1	14	1	0	0	29	1	0
id80	0	0	0	0	0	0	0	0	0
id81	0	0	0	0	0	0	0	0	2
id82	8	0	0	0	0	0	0	0	9
id83	0	2	0	0	0	1	0	0	0
id84	0	3545	0	34	46	13	0	0	1
id85	67	0	2094	0	0	0	41	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	0	25	1	3	0	0	0	0	0
id90	6179	0	192	0	0	0	72	0	12
id91	0	0	0	0	0	0	0	0	0
id92	0	0	0	0	0	0	6	0	0
id93	0	0	0	0	0	0	0	0	0
id94	15	0	0	0	0	0	1	0	7
id95	0	0	0	0	0	0	0	0	0
id96	869	1	766	39	213	0	42	195	75
id97	7	1	2	0	1	1	0	0	6
id98	0	0	0	0	0	0	0	0	21
id99	103	2	129	0	0	0	7277	0	58
